filename,mode,scene,resolution,spp,light_samples,max_ray_depth,direct_volume,vpm,vpm_bre,surface_caustics,vpm_photons_requested,vpm_photons_stored,vpm_radius,vpm_strength,caustic_photons_requested,caustic_photons_stored,render_time_seconds,notes
00_direct_volume_only_720x540_ultra_waves.png,Direct volume only,dae/sky/CBspheres_underwater_pebbles.dae,720x540,unknown,unknown,unknown,on,off,off,off,0,0,n/a,n/a,0,0,unknown,Pure direct volume waves render included as the simple baseline.
01_direct_volume_surface_caustics_1280x960_32spp.png,Direct volume baseline,dae/sky/CBspheres_underwater_pebbles.dae,1280x960,32,unknown,unknown,on,off,off,on,0,0,n/a,n/a,720000,413186,65.35,Direct volume lighting with surface caustic photon map enabled.
02_vpm_bre_no_surface_caustics_1280x960_64spp.png,VPM + BRE,dae/sky/CBspheres_underwater_pebbles.dae,1280x960,64,unknown,unknown,on,on,on,off,720000,406934,0.055,0.45,0,0,156.60,High-quality VPM volume lighting without surface caustic contribution.
03_vpm_bre_with_surface_caustics_1280x960_64spp.png,VPM + BRE + surface caustics,dae/sky/CBspheres_underwater_pebbles.dae,1280x960,64,unknown,unknown,on,on,on,on,720000,406934,0.055,0.45,720000,413196,181.62,Same VPM settings as 02 plus surface caustic photon map.
04_vpm_bre_no_surface_caustics_640x480_256spp_low_noise.png,VPM + BRE low-noise,dae/sky/CBspheres_underwater_pebbles.dae,640x480,256,16,8,on,on,on,off,1200000,677480,0.065,0.42,0,0,1273.44,Lower resolution with higher camera samples and smoother VPM gather radius.
